source,frame,detected,n_persons,max_conf
clean,303,1,1,0.9223
clean,304,1,1,0.9165
clean,305,1,1,0.919
clean,306,1,1,0.9267
clean,307,1,1,0.9295
clean,308,1,1,0.932
clean,309,1,1,0.9289
clean,310,1,1,0.9295
clean,311,1,1,0.9324
clean,312,1,1,0.9315
clean,313,1,1,0.931
clean,314,1,1,0.9241
clean,315,1,1,0.9251
clean,316,1,1,0.9278
clean,317,1,1,0.9264
clean,318,1,1,0.9242
clean,319,1,1,0.9262
clean,320,1,1,0.9324
clean,321,1,1,0.9333
clean,322,1,1,0.932
clean,323,1,1,0.9227
clean,324,1,1,0.9165
clean,325,1,1,0.9153
clean,326,1,1,0.9199
clean,327,1,1,0.9191
clean,328,1,1,0.9219
clean,329,1,1,0.9277
clean,330,1,1,0.9249
clean,331,1,1,0.9218
clean,332,1,1,0.9241
clean,333,1,1,0.9208
clean,334,1,1,0.9221
clean,335,1,1,0.9203
clean,336,1,1,0.9137
clean,337,1,1,0.9119
clean,338,1,1,0.9112
clean,339,1,1,0.9123
clean,340,1,1,0.9118
clean,341,1,1,0.9107
clean,342,1,1,0.9103
clean,343,1,1,0.9094
clean,344,1,1,0.918
clean,345,1,1,0.9134
clean,346,1,1,0.9176
clean,347,1,1,0.9251
clean,348,1,1,0.9196
clean,349,1,1,0.9137
clean,350,1,1,0.907
clean,351,1,1,0.9218
clean,352,1,1,0.9219
clean,353,1,1,0.9246
clean,354,1,1,0.9238
clean,355,1,1,0.9249
clean,356,1,1,0.9209
clean,357,1,1,0.9174
clean,358,1,1,0.9103
clean,359,1,1,0.9056
clean,360,1,1,0.9078
clean,361,1,1,0.9046
clean,362,1,1,0.9107
clean,363,1,1,0.9145
clean,364,1,1,0.9146
clean,365,1,1,0.9179
clean,366,1,1,0.9231
clean,367,1,1,0.918
clean,368,1,1,0.9179
clean,369,1,1,0.9183
clean,370,1,1,0.9142
clean,371,1,1,0.9202
clean,372,1,1,0.9217
clean,373,1,1,0.9221
clean,374,1,1,0.9207
clean,375,1,1,0.9206
clean,376,1,1,0.9234
clean,377,1,1,0.9223
clean,378,1,1,0.9225
clean,379,1,1,0.9225
clean,380,1,1,0.9236
clean,381,1,1,0.92
clean,382,1,1,0.915
clean,383,1,1,0.9121
clean,384,1,1,0.9052
clean,385,1,1,0.906
clean,386,1,1,0.8978
clean,387,1,1,0.8973
clean,388,1,1,0.8915
clean,389,1,1,0.8892
clean,390,1,1,0.8877
clean,391,1,1,0.8753
clean,392,1,1,0.8679
clean,393,1,1,0.8678
clean,394,1,1,0.8795
clean,395,1,1,0.8923
clean,396,1,1,0.9028
clean,397,1,1,0.9013
clean,398,1,1,0.9091
clean,399,1,1,0.901
clean,400,1,1,0.8978
clean,401,1,1,0.9014
clean,402,1,1,0.9085
clean,403,1,1,0.9157
clean,404,1,1,0.9266
clean,405,1,1,0.9243
clean,406,1,1,0.9259
clean,407,1,1,0.9266
clean,408,1,1,0.9089
clean,409,1,1,0.9106
clean,410,1,1,0.9239
clean,411,1,1,0.9223
clean,412,1,1,0.9235
clean,413,1,1,0.9286
clean,414,1,1,0.9267
clean,415,1,1,0.9145
clean,416,1,1,0.916
clean,417,1,1,0.9133
clean,418,1,1,0.9099
clean,419,1,1,0.9053
clean,420,1,1,0.9152
clean,421,1,1,0.9087
clean,422,1,1,0.9119
clean,423,1,1,0.92
clean,424,1,1,0.9164
clean,425,1,1,0.912
clean,426,1,1,0.9263
clean,427,1,1,0.9203
clean,428,1,1,0.9166
clean,429,1,1,0.925
clean,430,1,1,0.9231
clean,431,1,1,0.9242
clean,432,1,1,0.9126
clean,433,1,1,0.9218
clean,434,1,1,0.9135
clean,435,1,1,0.9197
clean,436,1,1,0.9188
clean,437,1,1,0.9199
clean,438,1,1,0.9224
clean,439,1,1,0.9226
clean,440,1,1,0.924
clean,441,1,1,0.9196
clean,442,1,1,0.9297
clean,443,1,1,0.9262
clean,444,1,1,0.9237
clean,445,1,1,0.9199
clean,446,1,1,0.9167
clean,447,1,1,0.9185
clean,448,1,1,0.9177
clean,449,1,1,0.9161
clean,450,1,1,0.9073
clean,451,1,1,0.9152
clean,452,1,1,0.9149
clean,453,1,1,0.931
clean,454,1,1,0.9411
clean,455,1,1,0.9422
clean,456,1,1,0.9437
clean,457,1,1,0.9415
clean,458,1,1,0.9451
clean,459,1,1,0.9418
clean,460,1,1,0.9455
clean,461,1,1,0.9453
clean,462,1,1,0.9486
clean,463,1,1,0.9465
clean,464,1,1,0.9506
clean,465,1,1,0.9503
clean,466,1,1,0.9492
clean,467,1,1,0.9454
clean,468,1,1,0.9436
clean,469,1,1,0.9443
clean,470,1,1,0.9366
clean,471,1,1,0.9357
clean,472,1,1,0.9388
clean,473,1,1,0.9416
clean,474,1,1,0.9427
clean,475,1,1,0.9411
clean,476,1,1,0.9448
clean,477,1,1,0.9428
clean,478,1,1,0.9464
clean,479,1,1,0.9458
clean,480,1,1,0.942
clean,481,1,1,0.9392
clean,482,1,1,0.9325
clean,483,1,1,0.9315
clean,484,1,1,0.9339
clean,485,1,1,0.9226
clean,486,1,1,0.9275
clean,487,1,1,0.9267
clean,488,1,1,0.9377
clean,489,1,1,0.9374
clean,490,1,1,0.9337
clean,491,1,1,0.9332
clean,492,1,1,0.9331
clean,493,1,1,0.936
clean,494,1,1,0.934
clean,495,1,1,0.9367
clean,496,1,1,0.9309
clean,497,1,1,0.9288
clean,498,1,1,0.9298
clean,499,1,1,0.9262
clean,500,1,1,0.9282
clean,501,1,1,0.926
clean,502,1,1,0.9239
clean,503,1,1,0.9256
clean,504,1,1,0.9255
clean,505,1,1,0.9211
clean,506,1,1,0.9245
clean,507,1,1,0.9262
clean,508,1,1,0.9277
clean,509,1,1,0.9294
clean,510,1,1,0.9277
clean,511,1,1,0.9275
clean,512,1,1,0.9345
clean,513,1,1,0.9286
clean,514,1,1,0.9244
clean,515,1,1,0.936
clean,516,1,1,0.9355
clean,517,1,1,0.9332
clean,518,1,1,0.9315
clean,519,1,1,0.9372
clean,520,1,1,0.9365
clean,521,1,1,0.9323
clean,522,1,1,0.9356
clean,523,1,1,0.9383
clean,524,1,1,0.9332
clean,525,1,1,0.9314
clean,526,1,1,0.9366
clean,527,1,1,0.9356
clean,528,1,1,0.9357
clean,529,1,1,0.9288
clean,530,1,1,0.933
clean,531,1,1,0.93
clean,532,1,1,0.9321
clean,533,1,1,0.9323
clean,534,1,1,0.9181
clean,535,1,1,0.9115
clean,536,1,1,0.9201
clean,537,1,1,0.9136
clean,538,1,1,0.9182
clean,539,1,1,0.9181
clean,540,1,1,0.9143
clean,541,1,1,0.9153
clean,542,1,1,0.925
clean,543,1,1,0.9167
clean,544,1,1,0.9214
clean,545,1,1,0.9221
clean,546,1,1,0.9233
clean,547,1,1,0.9206
clean,548,1,1,0.9206
clean,549,1,1,0.9153
clean,550,1,1,0.9144
clean,551,1,1,0.9118
clean,552,1,1,0.9169
clean,553,1,1,0.9071
clean,554,1,1,0.9089
clean,555,1,1,0.9126
clean,556,1,1,0.9124
clean,557,1,1,0.9139
clean,558,1,1,0.915
clean,559,1,1,0.9147
clean,560,1,1,0.9142
clean,561,1,1,0.9128
clean,562,1,1,0.9161
clean,563,1,1,0.9178
clean,564,1,1,0.9214
clean,565,1,1,0.9199
clean,566,1,1,0.9202
clean,567,1,1,0.9241
clean,568,1,1,0.9258
clean,569,1,1,0.9313
clean,570,1,1,0.9362
clean,571,1,1,0.936
clean,572,1,1,0.9364
clean,573,1,1,0.9301
clean,574,1,1,0.9366
clean,575,1,1,0.9349
clean,576,1,1,0.9313
clean,577,1,1,0.9322
clean,578,1,1,0.935
clean,579,1,1,0.9348
clean,580,1,1,0.9333
clean,581,1,1,0.9402
clean,582,1,1,0.9375
clean,583,1,1,0.9439
clean,584,1,1,0.9481
clean,585,1,1,0.9485
clean,586,1,1,0.948
clean,587,1,1,0.9482
clean,588,1,1,0.9444
clean,589,1,1,0.9447
clean,590,1,1,0.9467
clean,591,1,1,0.9468
clean,592,1,1,0.9491
clean,593,1,1,0.9493
clean,594,1,1,0.9477
clean,595,1,1,0.9495
clean,596,1,1,0.95
clean,597,1,1,0.9507
clean,598,1,1,0.95
clean,599,1,1,0.9499
clean,600,1,1,0.9498
clean,601,1,1,0.9484
clean,602,1,1,0.9516
clean,603,1,1,0.9483
clean,604,1,1,0.9502
clean,605,1,1,0.9486
clean,606,1,1,0.9477
clean,607,1,1,0.9462
clean,608,1,1,0.9494
clean,609,1,1,0.9469
clean,610,1,1,0.9451
clean,611,1,1,0.9451
clean,612,1,1,0.9468
clean,613,1,1,0.9471
clean,614,1,1,0.9477
clean,615,1,1,0.9479
clean,616,1,1,0.9492
clean,617,1,1,0.9471
clean,618,1,1,0.9469
clean,619,1,1,0.9474
clean,620,1,1,0.9498
clean,621,1,1,0.9496
clean,622,1,1,0.9509
clean,623,1,1,0.9506
clean,624,1,1,0.9505
clean,625,1,1,0.9501
clean,626,1,1,0.9495
clean,627,1,1,0.9531
clean,628,1,1,0.9524
clean,629,1,1,0.9535
clean,630,1,1,0.9545
clean,631,1,1,0.9537
clean,632,1,1,0.9526
clean,633,1,1,0.9547
clean,634,1,1,0.9534
clean,635,1,1,0.9543
clean,636,1,1,0.9525
clean,637,1,1,0.955
clean,638,1,1,0.9552
clean,639,1,1,0.9512
clean,640,1,1,0.9514
clean,641,1,1,0.952
clean,642,1,1,0.9542
clean,643,1,1,0.9508
clean,644,1,1,0.9544
clean,645,1,1,0.9509
clean,646,1,1,0.955
clean,647,1,1,0.9549
clean,648,1,1,0.952
clean,649,1,1,0.9479
clean,650,1,1,0.9529
clean,651,1,1,0.9507
clean,652,1,1,0.9534
clean,653,1,1,0.9561
clean,654,1,1,0.9562
